date,day,th_month,year,1st_prize,2digit_up,3digit_up,2digit_buttom,"3digit_front,3digit_bottom",3digit_front,3digit_bottom,thai_zodiac,dow,moon_phase,moon_category,moon_distance_km
2022-05-16,16,พฤษภาคม,2565,155012,12,012,06,['247' '736' '236' '540'],['247' '736'],['236' '540'],Tiger,Monday,0.9995471954345703,ช่วงข้างแรมแก่,362588.9177409606
2022-05-02,2,พฤษภาคม,2565,658642,42,642,09,['518' '778' '041' '325'],['518' '778'],['041' '325'],Tiger,Monday,0.012804042100906372,เริ่มข้างขึ้น,399854.3269739882
2022-04-16,16,เมษายน,2565,395919,19,919,58,['289' '859' '413' '508'],['289' '859'],['413' '508'],Tiger,Saturday,0.9911795043945313,ช่วงข้างแรมแก่,373388.50329817506
2022-04-01,1,เมษายน,2565,970618,18,618,10,['391' '738' '578' '870'],['391' '738'],['578' '870'],Tiger,Friday,0.001826317310333252,เริ่มข้างขึ้น,385224.4843189814
2022-03-16,16,มีนาคม,2565,737867,67,867,03,['349' '985' '788' '989'],['349' '985'],['788' '989'],Tiger,Wednesday,0.9398629760742188,ช่วงข้างแรมแก่,390702.8035157593
2022-03-01,1,มีนาคม,2565,061905,05,905,07,['236' '834' '234' '691'],['236' '834'],['234' '691'],Tiger,Tuesday,0.040896821022033694,เริ่มข้างขึ้น,369884.5775429602
2022-02-17,17,กุมภาพันธ์,2565,098597,97,597,57,['085' '644' '592' '816'],['085' '644'],['592' '816'],Tiger,Thursday,0.9972190856933594,ช่วงข้างแรมแก่,390856.6867339797
2022-02-01,1,กุมภาพันธ์,2565,944308,08,308,30,['061' '942' '485' '509'],['061' '942'],['485' '509'],Tiger,Tuesday,0.002535635828971863,เริ่มข้างขึ้น,364504.93447955
2022-01-17,17,มกราคม,2565,880159,59,159,92,['731' '786' '119' '529'],['731' '786'],['119' '529'],Tiger,Monday,0.9898756408691406,ช่วงข้างแรมแก่,403130.5626890249
2021-12-30,30,ธันวาคม,2564,819068,68,068,36,['591' '979' '419' '547'],['591' '979'],['419' '547'],Ox,Thursday,0.19732276916503907,ช่วงข้างขึ้น,365484.06783115584
2021-12-16,16,ธันวาคม,2564,639235,35,235,83,['097' '629' '476' '522'],['097' '629'],['476' '522'],Ox,Thursday,0.9126789093017578,ช่วงข้างแรมแก่,404769.8822149518
2021-12-01,1,ธันวาคม,2564,077258,58,258,82,['739' '740' '401' '485'],['739' '740'],['401' '485'],Ox,Wednesday,0.15516379356384277,ช่วงข้างขึ้น,367409.7675789497
2021-11-16,16,พฤศจิกายน,2564,032761,61,761,57,['471' '648' '245' '844'],['471' '648'],['245' '844'],Ox,Tuesday,0.8978816986083984,ช่วงข้างแรมแก่,398307.48366906075
2021-11-01,1,พฤศจิกายน,2564,045037,37,037,95,['247' '458' '331' '755'],['247' '458'],['331' '755'],Ox,Monday,0.19540971755981446,ช่วงข้างขึ้น,377806.60264900187
2021-10-16,16,ตุลาคม,2564,386372,72,372,38,['602' '964' '295' '798'],['602' '964'],['295' '798'],Ox,Saturday,0.7924290466308593,ช่วงข้างแรม,384377.5693232752
2021-10-01,1,ตุลาคม,2564,578171,71,171,83,['285' '361' '379' '449'],['285' '361'],['379' '449'],Ox,Friday,0.3184280014038086,ช่วงข้างขึ้น,394442.4304338754
2021-09-16,16,กันยายน,2564,070935,35,935,90,['609' '817' '007' '379'],['609' '817'],['007' '379'],Ox,Thursday,0.7335977935791016,ช่วงข้างแรม,374522.1119944635
2021-09-01,1,กันยายน,2564,114475,75,475,79,['278' '302' '123' '458'],['278' '302'],['123' '458'],Ox,Wednesday,0.342599983215332,ช่วงข้างขึ้น,401807.0903841988
2021-08-16,16,สิงหาคม,2564,046750,50,750,23,['421' '666' '160' '355'],['421' '666'],['160' '355'],Ox,Monday,0.54266845703125,จันทร์เพ็ญ,369702.7947190823
2021-08-01,1,สิงหาคม,2564,910261,61,261,69,['103' '307' '004' '785'],['103' '307'],['004' '785'],Ox,Sunday,0.4587065124511719,จันทร์เพ็ญ,403327.8452938236
2021-07-16,16,กรกฎาคม,2564,556725,25,725,70,['058' '174' '233' '927'],['058' '174'],['233' '927'],Ox,Friday,0.3444805526733398,ช่วงข้างขึ้น,377190.9304522467
2021-07-01,1,กรกฎาคม,2564,713517,17,517,29,['073' '794' '414' '511'],['073' '794'],['414' '511'],Ox,Thursday,0.5885942459106446,จันทร์เพ็ญ,393360.68504947703
2021-06-16,16,มิถุนายน,2564,691861,61,861,17,['007' '054' '447' '668'],['007' '054'],['447' '668'],Ox,Wednesday,0.2770609092712402,ช่วงข้างขึ้น,387267.2857824061
2021-06-01,1,มิถุนายน,2564,292972,72,972,45,['193' '620' '723' '978'],['193' '620'],['723' '978'],Ox,Tuesday,0.6362936401367187,ช่วงข้างแรม,382841.55844950816
2021-05-16,16,พฤษภาคม,2564,684579,79,579,14,['615' '843' '276' '970'],['615' '843'],['276' '970'],Ox,Sunday,0.15309024810791017,ช่วงข้างขึ้น,400618.0307862791
2021-05-02,2,พฤษภาคม,2564,501272,72,272,18,['018' '306' '129' '498'],['018' '306'],['129' '498'],Ox,Sunday,0.6963121032714844,ช่วงข้างแรม,372510.0314451335
2021-04-16,16,เมษายน,2564,100787,87,787,56,['013' '143' '264' '478'],['013' '143'],['264' '478'],Ox,Friday,0.13086599349975586,ช่วงข้างขึ้น,405434.8054009699
2021-04-01,1,เมษายน,2564,472270,70,270,05,['283' '755' '393' '577'],['283' '755'],['393' '577'],Ox,Thursday,0.8550025177001953,ช่วงข้างแรม,362708.63177921856
2021-03-16,16,มีนาคม,2564,890422,22,422,19,['036' '902' '256' '396'],['036' '902'],['256' '396'],Ox,Tuesday,0.06358547210693359,เริ่มข้างขึ้น,402905.6939572841
2021-03-01,1,มีนาคม,2564,835538,38,538,73,['290' '838' '051' '806'],['290' '838'],['051' '806'],Ox,Monday,0.9613890075683593,ช่วงข้างแรมแก่,366342.68603223143
2021-02-16,16,กุมภาพันธ์,2564,424603,03,603,39,['318' '861' '057' '817'],['318' '861'],['057' '817'],Ox,Tuesday,0.17275333404541016,ช่วงข้างขึ้น,400981.24812435126
2021-02-01,1,กุมภาพันธ์,2564,912307,07,307,97,['248' '605' '282' '651'],['248' '605'],['282' '651'],Ox,Monday,0.8768104553222656,ช่วงข้างแรมแก่,372357.43697274243
2021-01-17,17,มกราคม,2564,384395,95,395,15,['367' '653' '566' '878'],['367' '653'],['566' '878'],Ox,Sunday,0.1591789436340332,ช่วงข้างขึ้น,391991.2358664139
2020-12-30,30,ธันวาคม,2563,803628,28,628,19,['336' '804' '321' '924'],['336' '804'],['321' '924'],Rat,Wednesday,0.9996035766601562,ช่วงข้างแรมแก่,393265.49201294547
2020-12-16,16,ธันวาคม,2563,201303,03,303,70,['377' '828' '072' '517'],['377' '828'],['072' '517'],Rat,Wednesday,0.02420259952545166,เริ่มข้างขึ้น,369442.50289251795
2020-12-01,1,ธันวาคม,2563,100994,94,994,84,['093' '776' '834' '984'],['093' '776'],['834' '984'],Rat,Tuesday,0.9965922546386718,ช่วงข้างแรมแก่,400310.61265952187
2020-11-16,16,พฤศจิกายน,2563,972661,61,661,46,['368' '741' '208' '255'],['368' '741'],['208' '255'],Rat,Monday,0.00946128487586975,เริ่มข้างขึ้น,360027.48315863544
2020-11-01,1,พฤศจิกายน,2563,506404,04,404,40,['154' '598' '062' '245'],['154' '598'],['062' '245'],Rat,Sunday,0.997958984375,ช่วงข้างแรมแก่,405913.90537078027
2020-10-16,16,ตุลาคม,2563,286051,51,051,38,['189' '464' '045' '980'],['189' '464'],['045' '980'],Rat,Friday,0.012045168876647949,เริ่มข้างขึ้น,357887.60778638767
2020-10-01,1,ตุลาคม,2563,837893,93,893,59,['594' '757' '110' '595'],['594' '757'],['110' '595'],Rat,Thursday,0.9910675811767579,ช่วงข้างแรมแก่,403838.1886422541
2020-09-16,16,กันยายน,2563,244083,83,083,57,['127' '220' '623' '853'],['127' '220'],['623' '853'],Rat,Wednesday,0.03281967163085937,เริ่มข้างขึ้น,364902.80863114167
2020-09-01,1,กันยายน,2563,999997,97,997,98,['636' '725' '342' '957'],['636' '725'],['342' '957'],Rat,Tuesday,0.9838651275634765,ช่วงข้างแรมแก่,395600.94327254227
2020-08-16,16,สิงหาคม,2563,945811,11,811,88,['614' '712' '364' '733'],['614' '712'],['364' '733'],Rat,Sunday,0.11941812515258789,เริ่มข้างขึ้น,382137.1717763366
2020-08-01,1,สิงหาคม,2563,569391,91,391,92,['575' '931' '578' '809'],['575' '931'],['578' '809'],Rat,Saturday,0.9221263122558594,ช่วงข้างแรมแก่,380576.1174363177
2020-07-16,16,กรกฎาคม,2563,873286,86,286,53,['510' '533' '494' '682'],['510' '533'],['494' '682'],Rat,Thursday,0.2263677215576172,ช่วงข้างขึ้น,398004.0362726967
2020-07-01,1,กรกฎาคม,2563,347258,58,258,83,['095' '362' '094' '307'],['095' '362'],['094' '307'],Rat,Wednesday,0.7895560455322266,ช่วงข้างแรม,369244.5933302888
2020-06-16,16,มิถุนายน,2563,516967,67,967,64,['876' '882' '565' '625'],['876' '882'],['565' '625'],Rat,Tuesday,0.2524983787536621,ช่วงข้างขึ้น,404041.88014523126
2020-06-01,1,มิถุนายน,2563,831567,67,567,24,['264' '489' '562' '582'],['264' '489'],['562' '582'],Rat,Monday,0.7087869262695312,ช่วงข้างแรม,366985.56121527683
2020-04-01,1,เมษายน,2563,051095,95,095,22,['285' '430' '191' '364'],['285' '430'],['191' '364'],Rat,Wednesday,0.4562163162231445,จันทร์เพ็ญ,386485.33054269385
